Name,Type,Dates,Hours,Address,City,ZIP Code,Website
Auburn International Farmers Market ,Seasonal,"Jun 2 - Sep 15, Every Sundays",10:00 AM - 3:00 PM,"Les Gove Park, 1140 Auburn Way South",Auburn,98002,https://www.auburnwa.gov/city_hall/parks_arts_recreation/auburn_farmers_market
Ballard Farmers Market,Open Year-Round,"All year, Every Sunday",9am-2pm,5345 Ballard Ave NW,Seattle,98107,http://sfmamarkets.com/visit-ballard-farmers-market
Bellevue Farmers Market,Seasonal,"May 18 – Oct 19, Thursday",3:00 pm – 7:00 pm,1717 Bellevue Way NE,Bellevue,98004,http://bellevuefarmersmarket.org/
Burien Farmers Market,Open Year-Round,"Jan 12 – Dec 21, Thursday",10am-4pm,480 SW 152nd St. ,Burien,98116,http://discoverburien.org/
Capitol Hill Farmers Market,Open Year-Round,"All year, Sunday; Jul - Sep, Tuesdays","11am-3pm; 3pm - 7pm
",E Barbara Bailey Way,Seattle,98102,https://seattlefarmersmarkets.org/chfm
Carnation Farmers Market ,Seasonal,"June 4th - August, every Tuesday",3-7pm,"Tolt MacDonald Park, 31020 NE 40th St",Carnation,98014,http://carnationfarmersmarket.org/
Columbia City Farmers Market,Seasonal,"Nov. 11, Dec. 9, Saturday",10am-2pm,3500 S Edmunds St.,Seattle,98118,https://seattlefarmersmarkets.org/ccfm
Crossroads Farmers Market,Seasonal,"June 4 - September 24, Tuesdays",12 - 6pm,15600 NE 8th St,Bellevue,98008,https://crossroadsbellevue.com/FarmersMarket
Delridge Farmers Market,Seasonal,"May - Oct, every Saturday",10am-2pm,9421 18th Ave SW,Seattle,98106,https://www.achdo.org/delridgefarmersmarket
Des Moines Waterfront Farmers Market,Open Year-Round,"All year, Every Saturday",10am-4pm,22307 Dock Ave S.,Des Moines,98198,https://dmfm.org/
Duvall Farmers Market ,Seasonal,"May-Oct, Every Thursday",3:00PM-7:00PM,16201 Main St NE,Duvall,98019,https://duvallfarmersmarket.org/
Enumclaw Plateau Farmers' Market ,Seasonal,"Jul - Sep, Thursdays",3:00pm-7:00pm,1600 1st St,Enumclaw,98022,https://www.enumclawplateaufarmersmarket.org/
Federal Way Farmers Market ,Seasonal,"May 11th-Oct 26th, Saturdays",9am-2pm,1701 S 320th St,Federal Way,98003,https://federalwayfarmersmarket.com/
Issaquah Farmers Market ,Seasonal,"May-Sep, Saturdays",9am-2pm,1730 10th Ave NW,Issaquah,98027,https://www.issaquahwa.gov/778/Farmers-Market
Juanita Friday Market,Seasonal,"Jul - Sep, every Friday",3pm - 7pm,9703 Juanita Dr NE,Kirkland,98034,https://www.kirklandwa.gov/Whats-Happening/News/Juanita-Friday-Market-Kicks-Off-17th-Season
Kenmore Farmers Market ,Seasonal,"Jun 5 - Aug 28, every Wednesday",3pm - 7pm,6728 NE 181st St,Kenmore,98028,https://www.kenmorewa.gov/our-city/kenmore-farmers-market
Kent Farmers Market ,Seasonal,"Jun 15 - Sep, 14, every Saturday",9am-2pm,W Gowe St & 2nd Ave S,Kent,98032,https://kentfarmersmarket.com/
