PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
281,98119,12th and Howe Play Park,22,6 a.m. - 10 p.m.,Play Area
4159,98144,12th Ave S Viewpoint,34,6 a.m. - 10 p.m.,View
4010,98107,14th Ave NW Boat Ramp,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
4010,98107,14th Ave NW Boat Ramp,6,4 a.m. - 11:30 p.m.,Boat Launch (Motorized)
4010,98107,14th Ave NW Boat Ramp,36,4 a.m. - 11:30 p.m.,Waterfront
1000001,98199,32nd Ave W Boat Launch,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
3158,98117,6th Ave NW Pocket Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4404,98103,A. B. Ernst Park,33,4 a.m. - 11:30 p.m.,Paths
4404,98103,A. B. Ernst Park,34,4 a.m. - 11:30 p.m.,View
1000002,98118,Adams Street Boat Ramp,7,6 a.m. - 10:00 p.m.,Boat Launch (Hand Carry)
1000002,98118,Adams Street Boat Ramp,36,6 a.m. - 10:00 p.m.,Waterfront
244,98125,Albert Davis Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
445,98116,Alki Beach Park,7,4 a.m.-11:30 p.m.,Boat Launch (Hand Carry)
445,98116,Alki Beach Park,14,4 a.m.-11:30 p.m.,Fire Pit
445,98116,Alki Beach Park,33,4 a.m.-11:30 p.m.,Paths
445,98116,Alki Beach Park,42,4 a.m.-11:30 p.m.,Paths (ADA Compliant)
445,98116,Alki Beach Park,21,4 a.m.-11:30 p.m.,Picnic Sites
445,98116,Alki Beach Park,26,4 a.m.-11:30 p.m.,Rental Facility
445,98116,Alki Beach Park,27,4 a.m.-11:30 p.m.,Restrooms
445,98116,Alki Beach Park,40,4 a.m.-11:30 p.m.,Restrooms (ADA Compliant)
445,98116,Alki Beach Park,34,4 a.m.-11:30 p.m.,View
445,98116,Alki Beach Park,36,4 a.m.-11:30 p.m.,Waterfront
475,98105,Belvoir Place,15,4 a.m. - 11:30 p.m.,Fishing
3914,98122,Alvin Larkins Park,33,4 a.m. - 11:30 p.m.,Paths
426,98144,Amy Yee Tennis Center,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor)
2927,98116,Andover Place,34,4 a.m. - 11:30 p.m.,View
2927,98116,Andover Place,36,4 a.m. - 11:30 p.m.,Waterfront
485,98146,Arroyos Natural Area,56,4 a.m. - 11:30 p.m.,Green Space
485,98146,Arroyos Natural Area,37,4 a.m. - 11:30 p.m.,Woods
4081,98118,Atlantic City Boat Ramp,6,24 Hours,Boat Launch (Motorized)
4081,98118,Atlantic City Boat Ramp,36,24 Hours,Waterfront
4243,98144,Atlantic Street Park,74,4 a.m. - 11:30 p.m.,Adult Fitness Equipment
4243,98144,Atlantic Street Park,33,4 a.m. - 11:30 p.m.,Paths
4243,98144,Atlantic Street Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
4243,98144,Atlantic Street Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
2840,98117,Baker Park on Crown Hill,33,4 a.m. - 11:30 p.m.,Paths
