RestaurantId,Name,Description,Hours,Website,CuisineType,NeighborZipId
90a86abb-b311-42a0-b5a4-637d9fe8e0b5,Scott Inc,"Certainly myself happen administration our around. Whether compare writer party rich.
Light return morning movie. Though happen serve.",9:00 AM - 9:00 PM,http://jensen.com/,HISPANIC,98055
939764ac-60aa-4ba6-a4d1-a6a50c175c13,Flores Inc,Special professional stand peace. Each peace whom huge four military treatment white. Year region save change born before career western.,9:00 AM - 9:00 PM,https://munoz.com/,ASIAN,98047
e11a6f73-ae56-433c-a944-956f971f07d1,"Myers, Wright and Shaw","Oil much find while network successful several simple. Answer service oil wonder bank.
Significant seven foreign clearly within. Manager school international sell.",9:00 AM - 9:00 PM,https://www.ramirez.biz/,HISPANIC,98109
aa4ef457-0385-40e8-95f8-c4cdcbb16cf2,Parker Ltd,"Sport themselves senior chance pull decade. Father inside total last song more bit.
Listen point very year long rock identify. Support democratic happy glass. Rather white gun information.",9:00 AM - 9:00 PM,https://www.mckee.com/,ASIAN,98006
46ff2a18-1340-4ed5-aecc-b29223400cc6,Hester-Palmer,Half place compare action especially site tend court. Agent one picture wrong speak affect impact.,9:00 AM - 9:00 PM,http://hall.info/,ASIAN,98023
dec94d34-6171-4a2e-b856-761e03452bbe,Smith and Sons,"Listen describe drive special so. Someone PM seem debate. Away risk official choose ago trade agency.
Newspaper southern glass than in language.",9:00 AM - 9:00 PM,http://harris.biz/,EUROPEAN,98354
a4ef10d8-9280-47a0-8968-b7e17c53d809,Johnson-Diaz,"Best agent everyone. Car community reason cause.
Message shoulder charge great. Your TV everyone individual civil nation.",9:00 AM - 9:00 PM,https://greene.com/,AFRICAN,98019
cc0495ca-d54a-4859-a009-9f4fad05e5a1,Alvarez-Anderson,"Church behavior risk all student. Drop truth down.
East rise shoulder manage. Want structure newspaper writer. City for baby lawyer start.",9:00 AM - 9:00 PM,https://parker.com/,EUROPEAN,98023
34a65683-2069-4054-9ebc-114301aa38b9,Thompson and Sons,"Often defense special radio also above poor. Start garden stock common political third.
Choose discover inside discuss seven court available.",9:00 AM - 9:00 PM,http://www.smith.com/,HISPANIC,98164
95ecba46-f4ef-41bb-80e2-3200a3489645,"Carroll, Lopez and Stewart",Matter trouble science clearly. Some always them inside. It indeed animal suffer left rise network consider.,9:00 AM - 9:00 PM,https://dunn.com/,ASIAN,98119
0908a867-ef91-420f-8883-5794c8cf2a78,Carrillo-Walker,"Choice source gas unit.
Feel name reduce box those staff cut fast. It special image front.",9:00 AM - 9:00 PM,http://www.gill-fox.com/,AMERICAN,98198
eedfd219-f11b-4921-a3db-0c8ec5e46345,Browning-Hays,"Special chair agency under laugh something. Pm oil the woman early last.
Machine trial hear never. Begin team voice family feeling head onto.",9:00 AM - 9:00 PM,http://lopez.com/,AFRICAN,98019
39577d5c-635a-4a15-845c-c5c2fc94abcd,"Lee, Walker and Barnes","Watch today mean director. Art natural song condition including particularly. People forget Mr.
Finish available film western artist. Run feeling according safe discover computer structure.",9:00 AM - 9:00 PM,http://green.info/,AMERICAN,98102
5348f941-a7a6-4b31-b7d5-43f8009b7917,Salazar-Williamson,Memory identify carry investment resource how story. Good democratic to imagine build away. Understand choose whole born employee watch. Attack human despite finally goal.,9:00 AM - 9:00 PM,http://barron.com/,AFRICAN,98118
4fa8ef17-cb5e-4095-a54c-6cd1a6644758,Hansen Inc,Fast itself model parent present central tend. During different lose push quality. Radio standard it everything.,9:00 AM - 9:00 PM,https://www.cooke.com/,ASIAN,98040
8ecf0927-d765-4104-afb7-ea6dc3e0b1a4,Cortez-Wood,"More nor enough nation executive across. Manage no especially left language method particular.
Continue man himself computer. Pass chance cultural energy.",9:00 AM - 9:00 PM,https://www.rojas-turner.org/,ASIAN,98108
4981c0e2-4c7a-4bc1-99a6-a7653a5e1b2f,Nunez-Weaver,Cell walk deep hundred. Able get officer ability kitchen someone. Rate buy consumer within.,9:00 AM - 9:00 PM,http://leblanc.com/,AFRICAN,98155
4aeca68a-dd7b-4f51-ac35-43012cf71542,Holmes Group,Agreement machine summer subject. Continue citizen spring although. Trouble tree also in land know community.,9:00 AM - 9:00 PM,https://www.flowers.com/,AMERICAN,98028
c3576530-41ce-47e2-8ccd-d31bf8c81bc1,"Liu, Green and Gray","Message similar treat notice recent main sell. Provide better vote director.
Mind free eight actually meeting rich. Herself half east also himself without.",9:00 AM - 9:00 PM,http://www.petty-clarke.biz/,EUROPEAN,98008
9aaccda1-4577-4f3b-9c1c-9963359d28ca,Bell-Barajas,"Point happen ability finally long short firm also. Sea serve trade thought. Spend point fill break last.
Girl see individual use.
Which military man course question entire.",9:00 AM - 9:00 PM,http://sutton-bryant.com/,EUROPEAN,98032
416701f4-2add-4313-9f15-81d15c1a8fb4,Mccall PLC,"Enter listen growth help only foot. Such see fire season hit chair.
Direction hotel opportunity clear serve detail. Stock out late amount after. According edge piece main everybody.",9:00 AM - 9:00 PM,http://pierce-miller.net/,AFRICAN,98022
419cb4f1-d47f-43af-b324-2a5f2cc480e9,Mcconnell Group,"Dog low federal knowledge top. Collection light west recently chair their hope. Hour kind without eight his business hot.
Assume oil school doctor box. This defense three from five force.",9:00 AM - 9:00 PM,http://www.brooks-allen.info/,ASIAN,98052
7cb2d73f-f3b7-475c-8c7f-8723471566b9,Baker PLC,"Treatment that case state late us. Billion tonight Republican point. Quickly quickly town civil loss parent.
World back course especially wish. Who build conference project necessary both she.",9:00 AM - 9:00 PM,https://www.sandoval.com/,HISPANIC,98188
1311f14b-773a-4ad8-9470-780a59736f82,Rodriguez Group,"Cup control charge protect since theory admit. Pick social who need easy account. Central drop understand couple.
Do most clear. Sign how region trial up.",9:00 AM - 9:00 PM,https://shepard.net/,HISPANIC,98050
e9b86aa8-42c9-4119-a573-4d0c719cc0cd,Wallace Ltd,National sing describe evidence prevent. Matter like make cultural. Decide him fine agreement senior opportunity. Blue official light miss Mrs decade.,9:00 AM - 9:00 PM,https://johnson.biz/,ASIAN,98288
a84442ad-1f64-4531-bc68-ea19caf322e0,Bates LLC,Kitchen door serve family piece movie. Political draw television shake turn she. Reason goal wonder this discussion.,9:00 AM - 9:00 PM,https://www.prince-lopez.com/,AMERICAN,98126
5a052a9c-6edf-43c2-9b2b-463d872c0e6d,Lee-Richardson,Adult financial air college day research list. Bill hold should hair expect. Just expert specific best.,9:00 AM - 9:00 PM,http://www.rush-richardson.org/,EUROPEAN,98057
9a201940-9555-4304-a65f-efb76c10752e,"Duran, Williams and Buck","Either maybe girl marriage improve itself. Old very what. Political sound everybody feeling start black.
Life notice yes last station talk pretty must. Receive that hour conference admit.",9:00 AM - 9:00 PM,https://cruz-perez.com/,AMERICAN,98055
4ae7114a-7bc1-4e60-8f61-95c3db731c00,Mills LLC,"Identify day nearly police none produce. Break born live avoid treat draw animal. Manager skin check able plant.
Deal class manage. Response all keep always notice reveal.",9:00 AM - 9:00 PM,https://www.vargas-pope.com/,AFRICAN,98053
9108212a-0ddc-433b-b737-ccb03316dc2c,Nixon-Brooks,Production try part skin discussion. Pressure charge federal ago simple fine power. Garden ball remain few wear read carry avoid.,9:00 AM - 9:00 PM,http://reed-yates.com/,HISPANIC,98005
